================================================================================
SQL TREND INSIGHTS
================================================================================
Generated: 2026-06-18 12:32:43

Daily Orders
--------------------------------------------------------------------------------
       day  orders
2023-01-01       3
2023-01-02       2
2023-01-03       1
2023-01-04       2
2023-01-05       2
2023-01-06       1
2023-01-07       2
2023-01-08       3
2023-01-10       1
2023-01-11       2
2023-01-12       1
2023-01-13       1
2023-01-14       3
2023-01-15       1
2023-01-18       1
2023-01-20       3
2023-01-22       3
2023-01-23       3
2023-01-24       2
2023-01-25       2

Weekly Orders
--------------------------------------------------------------------------------
    week  orders
2023-W00       3
2023-W01      13
2023-W02       9
2023-W03       7
2023-W04      13
2023-W05       8
2023-W06       7
2023-W07      12
2023-W08       8
2023-W09      10
2023-W10      11
2023-W11      10
2023-W12       9
2023-W13       8
2023-W14       8
2023-W15       8
2023-W16       8
2023-W17       6
2023-W18      13
2023-W19      10

Monthly Orders
--------------------------------------------------------------------------------
  month  orders
2023-01      47
2023-02      37
2023-03      43
2023-04      31
2023-05      49
2023-06      45
2023-07      44
2023-08      51
2023-09      29
2023-10      47
2023-11      41
2023-12      46
2024-01      32
2024-02      32
2024-03      36
2024-04      50
2024-05      34
2024-06      53
2024-07      43
2024-08      28

Daily Revenue
--------------------------------------------------------------------------------
       day  revenue
2023-01-01  2021.11
2023-01-02  1323.55
2023-01-03   897.70
2023-01-04  3629.54
2023-01-05  3642.30
2023-01-06  1524.36
2023-01-07  2398.12
2023-01-08  2748.37
2023-01-10   996.28
2023-01-11  1910.78
2023-01-12  3219.45
2023-01-13  1232.64
2023-01-14  2762.76
2023-01-15  1898.76
2023-01-18  1739.60
2023-01-20  4428.09
2023-01-22  2870.75
2023-01-23  2512.33
2023-01-24  2267.34
2023-01-25  2644.50

Weekly Revenue
--------------------------------------------------------------------------------
    week  revenue
2023-W00  2021.11
2023-W01 16163.94
2023-W02 12020.67
2023-W03  9038.44
2023-W04 14096.63
2023-W05  7749.15
2023-W06  8131.09
2023-W07 13903.15
2023-W08  5684.56
2023-W09 13440.24
2023-W10  9466.52
2023-W11 13385.88
2023-W12  9412.07
2023-W13 11082.51
2023-W14  5589.02
2023-W15  8651.69
2023-W16  7967.71
2023-W17  5360.11
2023-W18 19447.63
2023-W19 11836.56

Monthly Revenue
--------------------------------------------------------------------------------
  month  revenue
2023-01 56685.75
2023-02 40117.66
2023-03 48609.37
2023-04 27751.71
2023-05 63836.84
2023-06 49500.19
2023-07 42820.66
2023-08 54352.14
2023-09 29526.67
2023-10 52607.85
2023-11 43079.67
2023-12 43754.73
2024-01 38528.08
2024-02 36909.57
2024-03 36030.90
2024-04 49613.14
2024-05 27909.11
2024-06 68068.54
2024-07 42963.98
2024-08 31991.07
